"sitio";"SP1";"SP2";"SP3";"SP4";"SP5";"SP6";"SP7";"SP8";"SP9";"SP10";"SP11";"SP12";"SP13";"SP14";"SP15";"SP16";"SP17";"SP18";"SP19";"SP20"
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
