"x";"y";"elevacion"
-75,5622949298274;6,17889359067839;1767,7
-75,7088881718704;6,2679504201935;2409,7
-75,6602564160982;6,31691123818518;2313,8
-75,679286584776;6,33583515764615;2236,6
-75,532802397805;6,29287604857198;2218,4
-75,5109130487678;6,21700196150167;2479,8
-75,4975315255818;6,27941331857047;2416,5
-75,6598569983452;6,18403578493799;1980,2
-75,676476316877;6,30330293857299;2276,8
-75,6898935432044;6,25987399211508;2500,2
-75,6114313250233;6,30349834617083;2376,6
-75,6737330111808;6,29246435855018;2609,4
-75,5298899112833;6,21966209046969;2180
-75,6575708504879;6,32505469523716;2548,8
-75,5381398494052;6,26303006791829;2046,6
-75,714494942632;6,32759018731577;1742,7
-75,6844322885876;6,24633205369698;2331,4
-75,7119043803031;6,36556202737409;1356,3
-75,5704315330697;6,18158269688528;1667,6
-75,5571642331304;6,2819600286793;1542,8
-75,4974216613201;6,23873412756307;2534,8
-75,584273934703;6,28459451602953;1616,6
-75,5351980425598;6,17896855919296;2540,3
-75,5704848474012;6,20056574927028;1570,3
-75,5514637213809;6,18163563279509;1950,8
-75,6657431823328;6,33858854952136;2499,5
-75,6464696810624;6,23831127782363;2170,6
-75,5814860194074;6,25748389124913;1476,8
-75,5677370439083;6,18701403796423;1654,4
-75,6980651372892;6,27340741845859;2679,7
-75,5163771859563;6,23325879855742;2079,5
-75,5327948521427;6,29016414808808;2294,5
-75,6331051377051;6,30072233719492;2385,1
-75,6412357466637;6,30069802733179;2235,1
-75,5164884184133;6,27393765996631;2485,6
-75,6003154913717;6,208616413856;1526,6
-75,5110235685631;6,25768094587977;2494,1
-75,5949192373971;6,21676747495463;1502,9
-75,4892190568866;6,21163638791331;2605,8
-75,5300094372799;6,26305263606124;2371,9
-75,5027832481094;6,21702394580368;2535,1
-75,4948065957311;6,27399676988573;2408,2
-75,5244774834155;6,22238887921916;2086,1
-75,540857534557;6,26573441074449;1885,5
-75,6409377572296;6,20036258316305;1951,6
-75,546323378561;6,281990576162;1737,3
-75,6738492525302;6,33042843152951;2311,4
-75,543424447526;6,21420087954526;1979,4
-75,5000369085621;6,20347150599621;2568,5
-75,5731640768915;6,18971066490108;1588,2
-75,6004249025936;6,24658194117864;1522,2
-75,5597216292976;6,22771493102546;1705,9
-75,600346682325;6,21946371312956;1540
-75,6844074909456;6,23819691624282;2140,5
-75,5326222173954;6,22779035723072;1760,5
-75,6709569057862;6,27077882349434;2426,6
-75,5707849360591;6,30632821183252;1628,2
-75,630394927618;6,30073041234812;2387,3
-75,6248863214685;6,27091687413975;1869,1
-75,6384850635225;6,28714730646704;2047,9
-75,5789002703697;6,3008811673503;1686,5
-75,6980065819711;6,25442557457732;2353,6
-75,5217675417571;6,22239629712631;2091,2
-75,6491553257388;6,2301679199424;2009,5
-75,4893278099749;6,25231576559222;2492,1
-75,5841340220419;6,23578138885138;1484,4
-75,6546642448265;6,25998101131262;2308,3
-75,5137411124489;6,26038546827434;2535,3
-75,5869684910488;6,2791630310554;1580,6
-75,7061698209702;6,26524716440881;2510,1
-75,5029741946928;6,28753439548413;2415,1
-75,5570573205611;6,24399379606614;1522,9
-75,5434169425934;6,21148898387179;1954,7
-75,5705996536273;6,2412436713955;1475,3
-75,6493989997003;6,31152059971227;2333,2
-75,6979815422295;6,24629049427189;2445,2
-75,5083355797424;6,26582413506456;2476,4
-75,5679587971337;6,26565810146661;1466,2
-75,5489197020982;6,2413047021678;1564,2
-75,6273813874166;6,19769058850618;2083,3
-75,6870100511799;6,20293639787245;2166,9
-75,5813392829562;6,20595880169582;1500,8
-75,6032688801129;6,29267495245508;1969,2
-75,600362298619;6,22488736104247;1529,1
-75,6926368194383;6,27071245856424;2739,6
-75,6575955761082;6,33318991244849;2957,6
-75,6928044817866;6,32494637115738;1979,9
-75,5922249373192;6,22219891626289;1495,6
-75,698073517108;6,27611910927812;2651,4
-75,5950675574474;6,2682922192256;1513,6
-75,5300544780082;6,27932407164362;2453,4
-75,7173252568527;6,36554484196938;1411,7
-75,6788729491307;6,20024931035666;2042
-75,703569337154;6,30050744585051;2050,4
-75,6139194337291;6,22755990721778;1597,8
-75,6817224268494;6,24634032375165;2267,9
-75,5814705152054;6,25206020250832;1473,8
-75,6303224998294;6,27632440358578;1797,7
-75,5705230310998;6,21412506381999;1529,9
-75,6629172132473;6,30063258208682;2200,3
