"","est_weather_stat_list","lon","lat","station_false","station_correct","may12","may19"
"1","Harku",24.5770417,59.3864055,"Harku","Harku",12.2,16.5
"2","Jogeva",26.3972118,58.7462917,"Jõgeva","Jogeva",14.5,19.3
"3","Johvi",27.4136646,59.3573116,"Jõhvi","Johvi",13.2,19.4
"4","Kihnu",23.9916402,58.1290155,"Kihnu","Kihnu",12.5,20.6
"5","Kunda",26.5144401,59.5006139,"Kunda","Kunda",12.8,16.7
"6","Kuusiku",24.7232136,58.9726015,"Kuusiku","Kuusiku",15,20.4
"7","Narva-Joesuu",28.0395998,59.4609192,"Narva-Jõesuu","Narva-Joesuu",14.2,19.4
"8","Laane-Nigula",23.7767199,58.9657529,"Lääne-Nigula","Laane-Nigula",13.5,21
"9","Pakri",23.95,59.3333333,"Pakri","Pakri",8.5,11
"10","Parnu",24.4965768,58.3858079,"Pärnu","Parnu",15.5,20.4
"11","Ristna",22.0668997,58.9339596,"Ristna","Ristna",7.8,14.1
"12","Ruhnu",23.2460512,57.805148,"Ruhnu","Ruhnu",9.7,18.1
"13","Sorve",24.4458329,59.425659,"Sõrve","Sorve",7.4,16.5
"14","Toravere",26.4671332,58.2647307,"Tõravere","Toravere",15.5,19.6
"15","Tiirikoja",26.9558,58.8727,"Tiirikoja","Tiirikoja",10.7,18.5
"16","Turi",25.428707,58.807924,"Türi","Turi",14.9,20.3
"17","Valga",26.0315223,57.7770816,"Valga","Valga",15.4,20
"18","Viljandi",25.5978364,58.3680907,"Viljandi","Viljandi",15.2,20.1
"19","Vilsandi",21.8641131,58.3840352,"Vilsandi","Vilsandi",7.6,15.3
"20","Virtsu",23.5148964,58.5718773,"Virtsu","Virtsu",9.7,20.3
"21","Vaike-Maarja",26.2522572,59.1294035,"V-Maarja","Vaike-Maarja",13.7,19.7
"22","Voru",26.9986977,57.8460723,"Võru","Voru",14.7,19.9
